county,2016,2017,2018,2019,2020,2021
"Rockingham County, Virginia",60716,60977,61732,62456,63149,64552
"Russell County, Virginia",22442,22292,22149,21960,21756,21051
"Scott County, Virginia",18166,18111,17947,17878,17775,17532
"Shenandoah County, Virginia",34119,33733,33885,34044,34263,34610
"Smyth County, Virginia",25216,25102,24966,24785,24648,24165
"Southampton County, Virginia",14686,14560,14508,14417,14357,14551
"Spotsylvania County, Virginia",95852,97002,98310,99647,101240,104117
"Stafford County, Virginia",102186,103613,105983,108378,111102,113834
"Surry County, Virginia",5479,5452,5429,5392,5313,5405
"Sussex County, Virginia",10783,9835,9729,9588,9477,9235
"Tazewell County, Virginia",34937,34409,33985,33573,33209,32679
"Warren County, Virginia",29966,30226,30696,30749,31187,31486
"Washington County, Virginia",44229,44181,44254,44165,44249,44426
"Westmoreland County, Virginia",14185,14260,14314,14406,14505,14905
"Wise County, Virginia",31971,31581,31270,31024,30762,29479
"Wythe County, Virginia",23261,23148,23140,23098,23053,22764
"York County, Virginia",50559,50965,51323,51737,52213,53066
"Alexandria city, Virginia",124161,126772,127842,128981,129258,129081
"Bristol city, Virginia",13654,13545,13384,13308,13503,13611
"Buena Vista city, Virginia",5226,5159,5193,5140,5139,5287
"Charlottesville city, Virginia",38454,39224,39657,39728,39896,39283
"Chesapeake city, Virginia",176003,177857,180053,181804,183764,186837
"Colonial Heights city, Virginia",13654,13588,13559,13451,13348,13902
"Covington city, Virginia",4496,4557,4510,4451,4407,4439
"Danville city, Virginia",33080,32682,32406,32099,31769,33145
"Emporia city, Virginia",4185,4082,3970,3878,3754,4107
"Fairfax city, Virginia",18688,18447,18439,18282,18256,18604
"Falls Church city, Virginia",10240,10401,10464,10604,10808,10938
"Franklin city, Virginia",6370,6319,6227,6096,6006,6126
"Fredericksburg city, Virginia",22054,22285,22517,22617,23012,22159
"Galax city, Virginia",5369,5415,5225,5103,4763,5087
"Hampton city, Virginia",106961,107011,106719,106529,106625,107523
"Harrisonburg city, Virginia",43751,44445,44590,44564,44800,43470
"Hopewell city, Virginia",16642,16627,16659,16692,16723,17073
"Lexington city, Virginia",6450,6575,6483,6592,6624,6688
"Lynchburg city, Virginia",63586,63907,64614,65061,65605,63874
"Manassas city, Virginia",30101,30304,30293,30115,30098,31241
"Manassas Park city, Virginia",11518,11849,12229,12638,13007,12760
"Martinsville city, Virginia",10512,10157,9975,9755,9583,10072
"Newport News city, Virginia",139066,138582,138301,137970,137914,141767
"Norfolk city, Virginia",196024,196525,196793,196397,196389,191694
"Norton city, Virginia",3170,3154,3067,3029,3335,3053
"Petersburg city, Virginia",25417,25401,25026,24660,24325,25970
"Poquoson city, Virginia",9343,9324,9378,9422,9524,9669
"Portsmouth city, Virginia",73455,73046,72901,72820,72801,74634
"Radford city, Virginia",15235,15474,15768,15821,15842,14373
"Richmond city, Virginia",177292,181106,183783,186666,189380,186483
"Roanoke city, Virginia",77443,77508,77761,77528,77134,77289
"Salem city, Virginia",20363,20552,20602,20473,20576,20537
"Staunton city, Virginia",19754,19728,19778,19802,19977,20478
"Suffolk city, Virginia",65206,66163,67189,68190,69358,70825
"Virginia Beach city, Virginia",346945,348265,349083,349884,350986,355894
"Waynesboro city, Virginia",16368,16590,16823,16982,17193,17114
"Williamsburg city, Virginia",13340,13181,13171,13371,13373,13653
"Winchester city, Virginia",21186,21249,21421,21499,21554,21777
"Adams County, Washington",12382,12508,12611,12699,12759,13114
"Asotin County, Washington",17513,17629,17696,17845,18017,17676
"Benton County, Washington",137231,139465,142116,144640,147327,149977
"Chelan County, Washington",56676,56954,57635,58135,58649,60073
"Clallam County, Washington",60080,60514,61519,62411,63512,63702
"Clark County, Washington",337226,343397,350740,358350,366590,378392
"Columbia County, Washington",3229,3253,3215,3212,3333,3227
"Cowlitz County, Washington",79133,79784,80998,82322,83724,84404
"Douglas County, Washington",29486,29873,30519,31032,31556,31614
"Ferry County, Washington",6204,6182,6223,6318,6403,5939
"Franklin County, Washington",58415,59562,60743,61842,63251,64490
"Garfield County, Washington",1691,1716,1695,1695,1806,1837
"Grant County, Washington",64621,65383,66558,67239,68128,68943
"Grays Harbor County, Washington",56241,56513,57010,57843,58812,59434
"Island County, Washington",64897,65269,66566,67720,68912,70346
"Jefferson County, Washington",26183,26522,26930,27379,27997,28689
"King County, Washington",1644997,1679051,1717879,1747408,1775822,1788386
"Kitsap County, Washington",203285,204826,208110,211232,214142,217388
"Kittitas County, Washington",35169,36000,37015,37996,39127,36609
"Klickitat County, Washington",16642,16925,17173,17493,17805,18127
"Lewis County, Washington",59055,59383,60295,61287,62306,63549
"Lincoln County, Washington",8085,8125,8197,8311,8446,8413
"Mason County, Washington",49174,49596,50442,51385,52713,52189
"Okanogan County, Washington",31743,31753,32074,32227,32403,32219
"Pacific County, Washington",17140,17338,17673,18158,18638,19370
"Pend Oreille County, Washington",10366,10469,10619,10813,11011,10710
"Pierce County, Washington",632848,643621,655902,670899,683286,696507
"San Juan County, Washington",13778,13978,14241,14566,14749,15338
"Skagit County, Washington",93372,94530,96381,97993,99700,100325
"Skamania County, Washington",8931,9211,9375,9512,9683,9812
"Snohomish County, Washington",582828,594228,606326,617135,628055,634352
"Spokane County, Washington",376743,380891,386681,393177,400093,413775
"Stevens County, Washington",33977,34167,34551,35062,35573,36132
"Thurston County, Washington",207512,210669,214882,219356,223715,228211
"Wahkiakum County, Washington",3392,3403,3488,3567,3564,3631
"Walla Walla County, Washington",46983,46970,47352,47598,47954,48962
"Whatcom County, Washington",167597,170314,173855,177569,181042,181099
"Whitman County, Washington",40317,40577,41277,41781,42161,40872
"Yakima County, Washington",173409,174042,174899,175354,176232,179071
"Barbour County, West Virginia",13439,13416,13360,13301,13296,12403
"Berkeley County, West Virginia",83472,84846,86531,88199,90174,92346
"Boone County, West Virginia",18380,18113,17825,17553,17223,17366
"Braxton County, West Virginia",11543,11444,11422,11393,11252,10208
"Brooke County, West Virginia",19209,18896,18653,18529,18271,18595
"Cabell County, West Virginia",77380,76955,76403,75652,74861,75701
"Calhoun County, West Virginia",6018,6007,5918,5858,5850,5212
"Clay County, West Virginia",6974,6871,6798,6747,6675,6342
"Doddridge County, West Virginia",6782,7087,7131,7218,7169,6727
"Fayette County, West Virginia",35792,35275,34994,34567,34206,32529
"Gilmer County, West Virginia",7288,7027,6981,6833,6776,6389
"Grant County, West Virginia",9461,9417,9429,9423,9431,8892
"Greenbrier County, West Virginia",28569,28538,28352,28243,28124,26771
"Hampshire County, West Virginia",18642,18711,18867,18833,18907,18532
"Hancock County, West Virginia",24078,24043,23959,23767,23589,23618
"Hardy County, West Virginia",11114,11035,10998,10966,10955,11354
"Harrison County, West Virginia",53964,53674,53544,53362,53143,51952
"Jackson County, West Virginia",22825,22739,22723,22686,22535,21948
"Jefferson County, West Virginia",42767,42981,43463,43819,44283,44818
"Kanawha County, West Virginia",150937,149561,148149,146407,144809,145304
"Lewis County, West Virginia",13037,12951,12774,12738,12582,13373
"Lincoln County, West Virginia",16646,16457,16342,16158,15984,16004
"Logan County, West Virginia",27900,27306,26812,26365,25867,25962
"McDowell County, West Virginia",16428,15723,15275,14833,14369,15472
"Marion County, West Virginia",45327,45196,45176,45066,44998,44904
"Marshall County, West Virginia",25748,25473,25324,25178,24891,24868
"Mason County, West Virginia",21378,21337,21329,21086,21187,20274
"Mercer County, West Virginia",48817,48403,48047,47623,47206,47509
"Mineral County, West Virginia",21937,21787,21705,21697,21656,21587
"Mingo County, West Virginia",19851,19549,19227,18869,18511,18501
"Monongalia County, West Virginia",86165,86845,88100,88188,88911,88273
"Monroe County, West Virginia",10798,10824,10797,10776,10668,9942
"Morgan County, West Virginia",14119,14185,14328,14440,14631,14104
"Nicholas County, West Virginia",20567,20359,20196,19969,19771,19839
"Ohio County, West Virginia",34951,34702,34416,34079,33819,34203
"Pendleton County, West Virginia",5988,5864,5787,5722,5779,5119
"Pleasants County, West Virginia",6143,6066,6076,6023,5987,6157
"Pocahontas County, West Virginia",7099,7084,7051,6988,6932,6603
"Preston County, West Virginia",27214,27228,27289,27173,27282,27765
"Putnam County, West Virginia",43685,43735,43797,43861,43946,44566
"Raleigh County, West Virginia",61622,60939,60315,59574,59056,59111
"Randolph County, West Virginia",23644,23553,23499,23390,23162,22806
"Ritchie County, West Virginia",7974,7995,7951,7890,7777,6884
"Roane County, West Virginia",11327,11242,11123,11025,10857,11174
"Summers County, West Virginia",11007,10950,10777,10691,10621,10119
"Taylor County, West Virginia",13506,13513,13482,13440,13458,13342
"Tucker County, West Virginia",5692,5782,5868,5862,5860,5805
"Tyler County, West Virginia",7220,7171,7143,7076,7026,6763
"Upshur County, West Virginia",19539,19567,19626,19462,19532,18987
"Wayne County, West Virginia",32317,32325,32072,31883,31750,31117
"Webster County, West Virginia",7028,6880,6797,6701,6631,6744
"Wetzel County, West Virginia",12696,12567,12436,12250,12188,11648
"Wirt County, West Virginia",4579,4503,4526,4562,4559,4136
"Wood County, West Virginia",67933,67824,67537,67020,66646,66754
"Wyoming County, West Virginia",17728,17453,17181,16853,16580,17132
"Adams County, Wisconsin",17266,17111,17110,17176,17246,17517
"Ashland County, Wisconsin",12322,12233,12202,12148,12107,12506
"Barron County, Wisconsin",35700,35516,35433,35437,35390,36398
"Bayfield County, Wisconsin",12316,12349,12363,12391,12478,13283
"Brown County, Wisconsin",194200,195461,197167,198837,200180,203742
"Buffalo County, Wisconsin",10453,10453,10440,10445,10419,10588
"Burnett County, Wisconsin",12466,12480,12527,12574,12665,13503
"Calumet County, Wisconsin",37022,37289,37541,37815,38119,39831
"Chippewa County, Wisconsin",48844,49084,49163,49721,49985,51321
"Clark County, Wisconsin",24336,24371,24357,24395,24423,24307
"Columbia County, Wisconsin",43985,44208,44487,44791,45104,45814
"Crawford County, Wisconsin",13029,12881,12904,12915,12948,12890
"Dane County, Wisconsin",407610,413209,419781,425837,431982,442096
"Dodge County, Wisconsin",69692,69701,69454,69593,70191,71509
"Door County, Wisconsin",23076,22964,22939,23034,23111,24719
"Douglas County, Wisconsin",34729,34654,34677,34664,34910,35320
"Dunn County, Wisconsin",35515,35389,35614,35897,36215,36357
"Eau Claire County, Wisconsin",80986,81442,81960,82475,83024,83697
"Florence County, Wisconsin",3769,3646,3641,3638,3646,3811
"Fond du Lac County, Wisconsin",79531,79739,80080,80648,80705,81570
"Forest County, Wisconsin",7261,7196,7206,7197,7219,7372
"Grant County, Wisconsin",41146,41146,41141,41060,40870,41232
"Green County, Wisconsin",28537,28463,28547,28643,28644,28840
"Green Lake County, Wisconsin",14604,14476,14497,14575,14633,14784
"Iowa County, Wisconsin",18167,18063,18147,18201,18274,18358
"Iron County, Wisconsin",4975,4923,4910,4889,4845,5145
"Jackson County, Wisconsin",15972,16018,16003,16023,16068,16376
"Jefferson County, Wisconsin",65646,65968,66281,66577,66951,66980
"Juneau County, Wisconsin",21027,21085,21086,21148,21260,21212
"Kenosha County, Wisconsin",127237,127772,128613,129381,130398,130384
"Kewaunee County, Wisconsin",15932,15892,15905,16025,16074,16203
"La Crosse County, Wisconsin",93603,93806,94210,94443,94801,96358
"Lafayette County, Wisconsin",12627,12594,12597,12638,12641,12596
"Langlade County, Wisconsin",15596,15445,15446,15459,15450,15638
"Lincoln County, Wisconsin",22617,22550,22565,22578,22600,23139
"Manitowoc County, Wisconsin",63198,62891,62800,62762,62697,64258
"Marathon County, Wisconsin",103657,103781,103994,104283,104498,105959
"Marinette County, Wisconsin",33096,32804,32703,32712,32690,33714
"Marquette County, Wisconsin",12113,12184,12188,12319,12394,12500
"Menominee County, Wisconsin",2991,3044,3080,3068,3079,2921
"Milwaukee County, Wisconsin",721561,724283,723098,721877,721518,712110
"Monroe County, Wisconsin",33791,33744,33926,34131,34494,34371
"Oconto County, Wisconsin",29718,29854,29922,30034,30254,30902
"Oneida County, Wisconsin",29426,29292,29251,29298,29330,30905
"Outagamie County, Wisconsin",137828,139252,140618,141633,142878,144865
"Ozaukee County, Wisconsin",68276,68649,69156,69531,70145,71489
"Pepin County, Wisconsin",5740,5707,5720,5746,5754,5773
"Pierce County, Wisconsin",32224,32519,32900,33222,33583,33480
"Polk County, Wisconsin",33921,33913,34044,34237,34457,35485
"Portage County, Wisconsin",56638,56515,56780,56939,57212,56786
"Price County, Wisconsin",11403,11222,11151,11084,11079,11460
"Racine County, Wisconsin",148321,148890,149497,150008,150501,151534
"Richland County, Wisconsin",13708,13729,13684,13675,13655,13569
"Rock County, Wisconsin",122511,122950,123623,124226,124855,125561
"Rusk County, Wisconsin",11253,11243,11281,11226,11199,11253
"St. Croix County, Wisconsin",64117,64620,65493,66383,67431,69593
"Sauk County, Wisconsin",48706,48754,49018,49312,49544,50407
"Sawyer County, Wisconsin",13161,13115,13162,13198,13384,14392
"Shawano County, Wisconsin",32340,32183,32122,32080,32054,32071
"Sheboygan County, Wisconsin",88937,88928,89280,89475,89661,91443
"Taylor County, Wisconsin",15622,15463,15479,15511,15550,15263
"Trempealeau County, Wisconsin",22349,22254,22158,22150,22138,22786
"Vernon County, Wisconsin",22534,22475,22545,22643,22752,22606
"Vilas County, Wisconsin",17769,17869,18038,18167,18296,18893
"Walworth County, Wisconsin",80349,80563,80954,81317,81949,84136
"Washburn County, Wisconsin",12689,12613,12668,12696,12772,13441
"Washington County, Wisconsin",102633,103436,104252,104964,105807,106491
"Waukesha County, Wisconsin",306795,308790,311304,313585,316103,317879
"Waupaca County, Wisconsin",40925,40812,40776,40717,40571,41113
"Waushara County, Wisconsin",19671,19640,19629,19714,19816,20020
"Winnebago County, Wisconsin",134024,134257,134777,135327,135844,135961
"Wood County, Wisconsin",57511,57452,57386,57295,57134,57931
"Albany County, Wyoming",31581,31730,31714,32186,32489,31300
"Big Horn County, Wyoming",8910,8866,8838,8868,8800,8700
"Campbell County, Wyoming",34708,34617,34531,34281,34104,33955
"Carbon County, Wyoming",11935,11992,11857,11683,11590,11292
"Converse County, Wyoming",10640,10599,10537,10453,10400,10333
"Crook County, Wyoming",5582,5571,5595,5632,5666,5419
"Fremont County, Wyoming",30441,30141,29867,29755,29723,29357
"Goshen County, Wyoming",10792,10699,10634,10631,10591,10109
"Hot Springs County, Wyoming",3804,3777,3780,3695,3666,3715
"Johnson County, Wyoming",6674,6671,6619,6614,6831,6614
"Laramie County, Wyoming",73803,74451,74920,75565,76448,76728
"Lincoln County, Wyoming",13440,13636,13801,14039,14350,14253
"Natrona County, Wyoming",61452,61502,61205,60945,60809,60176
"Niobrara County, Wyoming",1993,1999,1969,1953,1868,2001
"Park County, Wyoming",23052,23191,23113,23133,23274,23464
"Platte County, Wyoming",6955,6892,6889,7030,7034,7020
"Sheridan County, Wyoming",23469,23407,23472,23704,23933,24044
"Sublette County, Wyoming",7614,7587,7523,7548,7597,6871
"Sweetwater County, Wyoming",32468,32571,32308,31974,32049,31514
"Teton County, Wyoming",18212,18488,18625,18842,19164,19169
"Uinta County, Wyoming",14717,14614,14538,14506,14516,14641
"Washakie County, Wyoming",6279,6223,6187,6049,6045,6000
"Weston County, Wyoming",5664,5618,5595,5567,5601,5499
"Adjuntas Municipio, Puerto Rico",14453,14396,14273,14197,14117,14629
"Aguada Municipio, Puerto Rico",31784,31582,31250,31003,30760,31816
"Aguadilla Municipio, Puerto Rico",44683,44086,43211,42449,41837,45244
"Aguas Buenas Municipio, Puerto Rico",21205,21057,20841,20663,20526,20129
"Aibonito Municipio, Puerto Rico",19213,19027,18764,18553,18364,20194
"Añasco Municipio, Puerto Rico",22308,22235,22061,21931,21842,21424
"Arecibo Municipio, Puerto Rico",72190,71478,70207,69294,68451,72594
"Arroyo Municipio, Puerto Rico",14266,14189,14021,13919,13837,12901
"Barceloneta Municipio, Puerto Rico",19066,19134,19116,19173,19242,18588
"Barranquitas Municipio, Puerto Rico",22240,22203,22075,21981,21921,22841
"Bayamón Municipio, Puerto Rico",153888,151511,148252,145666,143145,154376
"Cabo Rojo Municipio, Puerto Rico",39628,39680,39523,39531,39480,39350
"Caguas Municipio, Puerto Rico",106802,106062,104799,103926,103131,105316
